Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Agressive_Target,Predicted_Agressive_Target,Actual_Profit,Actual_Aggressive_profit,PAT_Profit_100,PAT_D_Profit_100,PAT_Loss_100,Target_Predicted_Aggressive_100_Defence_Target,PAT_Profit_Timestamp_100,PAT_D_Profit_Timestamp_100,PAT_Loss_Timestamp_100,Actual_Loss,PAT_Profit_Duration,PAT_D_Profit_Duration,PAT_Loss_Duration
9/3/2024 8:20,5647.5,5653.25,5645.5,5652,5658,5616.5,5614.75,5614,5613.25,5645.5,5651.5,5664.5,5674.75,5686,0,5652,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0
9/3/2024 9:05,5636.25,5645.25,5634,5643.75,5658,5616.5,5614.75,5614,5613.25,5634,5645.5,5651.5,5664.5,5674.75,0,5643.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 9:10,5643.75,5650.25,5640.75,5644.5,5658,5616.5,5614.75,5614,5613.25,5634,5640.75,5645.5,5651.5,5664.5,5644.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 9:15,5644.5,5649.75,5644,5646.5,5658,5616.5,5614.75,5614,5613.25,5634,5640.75,5644,5645.5,5651.5,5646.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 9:40,5646.25,5652.5,5646.25,5647,5658,5616.5,5614.75,5614,5613.25,5634,5640.75,5644,5645.5,5646.25,5647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 9:55,5641.75,5643.75,5639,5643,5658,5616.5,5614.75,5614,5613.25,5634,5639,5640.75,5644,5645.5,0,5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 10:05,5638.5,5644.25,5638.25,5642.5,5658,5616.5,5614.75,5614,5613.25,5634,5638.25,5639,5640.75,5644,0,5642.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 11:05,5631.25,5634.25,5630.5,5633.5,5658,5616.5,5614.75,5614,5613.25,5630.5,5634,5638.25,5639,5640.75,0,5633.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 11:10,5633.5,5638.5,5632.75,5636.5,5658,5616.5,5614.75,5614,5613.25,5630.5,5632.75,5634,5638.25,5639,5636.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 11:20,5631,5634.25,5630,5634.25,5658,5616.5,5614.75,5614,5613.25,5630,5630.5,5632.75,5634,5638.25,0,5634.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
